Current Epoch,Train loss,Train acc,Test loss,Test acc
Current Epoch,Train loss,Train acc,Test loss,Test acc
Current Epoch,Train loss,Train acc,Test loss,Test acc
1,0.753711704909801,0.400000005960464,0.752714296181997,0.500000000000000
2,0.138086308306083,1.000000000000000,0.855848272641500,0.333333343267441
3,0.056457345769741,1.000000000000000,0.897024522225062,0.333333343267441
4,0.037329083401710,1.000000000000000,0.923008124033610,0.333333343267441
5,0.028703564777970,1.000000000000000,0.939721544583639,0.333333343267441
6,0.023670653440058,1.000000000000000,0.953510319193204,0.333333343267441
7,0.019313016883098,1.000000000000000,0.947568823893865,0.333333343267441
8,0.016528794239275,1.000000000000000,0.947850291927656,0.333333343267441
9,0.014266919624060,1.000000000000000,0.938246612747510,0.333333343267441
10,0.012503807223402,1.000000000000000,0.938547795017560,0.333333343267441
11,0.011045199818909,1.000000000000000,0.961371883749962,0.166666671633720
12,0.009868053742684,1.000000000000000,0.974693184097608,0.333333343267441
13,0.008893799874932,1.000000000000000,0.954808915654818,0.333333343267441
14,0.007996560586616,1.000000000000000,0.960632358988126,0.333333343267441
15,0.007291201106273,1.000000000000000,0.970353181163470,0.333333343267441
16,0.006718474789523,1.000000000000000,0.974907259146372,0.166666671633720
17,0.006179184420034,1.000000000000000,0.978566060463587,0.333333343267441
18,0.005695398477837,1.000000000000000,0.966750393311183,0.333333343267441
19,0.005274627159815,1.000000000000000,0.991070513923963,0.333333343267441
20,0.004910768091213,1.000000000000000,0.989942679802577,0.333333343267441
21,0.004576742649078,1.000000000000000,0.990809609492620,0.333333343267441
Current Epoch,Train loss,Train acc,Test loss,Test acc
1,0.770010584592819,0.400000005960464,0.771855026483536,0.333333343267441
2,0.144931195629761,1.000000000000000,0.864404797554016,0.333333343267441
3,0.050192056037486,1.000000000000000,0.912652129928271,0.333333343267441
4,0.036196527862921,1.000000000000000,0.898931349317233,0.333333343267441
5,0.028398262150586,1.000000000000000,0.921891674399376,0.333333343267441
6,0.023105451278388,1.000000000000000,0.938927829265594,0.333333343267441
7,0.019623056286946,1.000000000000000,0.930497114857038,0.333333343267441
8,0.016903621843085,1.000000000000000,0.929844960570335,0.333333343267441
9,0.014658318832517,1.000000000000000,0.948906610409419,0.333333343267441
10,0.013091977545992,1.000000000000000,0.934818799297015,0.333333343267441
11,0.011539725400507,1.000000000000000,0.945167715350787,0.333333343267441
12,0.010321228113025,1.000000000000000,0.942249218622843,0.333333343267441
13,0.009319185675122,1.000000000000000,0.957037255167961,0.333333343267441
14,0.008500315621495,1.000000000000000,0.978163972496986,0.333333343267441
15,0.007746732397936,1.000000000000000,0.953142513831457,0.333333343267441
16,0.007106124819256,1.000000000000000,0.969569578766823,0.333333343267441
17,0.006550542521290,1.000000000000000,0.955427616834641,0.333333343267441
18,0.006063078157604,1.000000000000000,0.973271290461222,0.333333343267441
19,0.005621756799519,1.000000000000000,0.979559868574142,0.333333343267441
20,0.005248780106194,1.000000000000000,0.971531704068184,0.333333343267441
21,0.004893841873854,1.000000000000000,0.958521321415901,0.333333343267441
