30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-202,-1815,7774,-765,-3430,-107,-13,-4,77,7774,-765,-3430,-107,-13,-4,77,-609,5388,5970,40,65,13,1620,-609,5388,5970,40,65,13,1620
-209,-2469,7771,-774,-3433,-109,-12,-4,77,7771,-774,-3433,-109,-12,-4,77,-628,5365,5965,72,32,-8,1622,-628,5365,5965,72,32,-8,1622
60,32,7754,-770,-3431,-108,-14,-3,77,7754,-770,-3431,-108,-14,-3,77,-640,5353,5950,50,32,15,1613,-640,5353,5950,50,32,15,1613
1522,1138,7795,-746,-3419,-113,-13,-2,77,7795,-746,-3419,-113,-13,-2,77,-643,5380,5949,37,43,19,1617,-643,5380,5949,37,43,19,1617
-1260,-3804,7734,-773,-3461,-115,-8,-2,77,7734,-773,-3461,-115,-8,-2,77,-663,5346,5948,45,63,7,1625,-663,5346,5948,45,63,7,1625
1352,2308,7766,-793,-3462,-113,-11,-2,77,7766,-793,-3462,-113,-11,-2,77,-675,5372,5931,49,39,7,1622,-675,5372,5931,49,39,7,1622
824,-2532,7773,-752,-3455,-112,-9,-1,77,7773,-752,-3455,-112,-9,-1,77,-646,5380,5986,57,32,7,1621,-646,5380,5986,57,32,7,1621
-3038,36,7759,-760,-3481,-108,-13,-4,77,7759,-760,-3481,-108,-13,-4,77,-643,5401,6003,56,51,2,1620,-643,5401,6003,56,51,2,1620
2430,753,7775,-755,-3458,-107,-9,-3,77,7775,-755,-3458,-107,-9,-3,77,-654,5343,5958,57,55,12,1623,-654,5343,5958,57,55,12,1623
602,-1442,7767,-760,-3497,-107,-14,-4,77,7767,-760,-3497,-107,-14,-4,77,-643,5410,5917,54,68,2,1620,-643,5410,5917,54,68,2,1620
-1226,1136,7761,-747,-3472,-108,-12,-5,77,7761,-747,-3472,-108,-12,-5,77,-694,5311,5963,51,47,12,1620,-694,5311,5963,51,47,12,1620
-1609,-693,7747,-757,-3476,-113,-11,-2,77,7747,-757,-3476,-113,-11,-2,77,-616,5346,5906,30,41,10,1615,-616,5346,5906,30,41,10,1615
1911,-3978,7781,-785,-3467,-117,-12,-4,77,7781,-785,-3467,-117,-12,-4,77,-690,5302,5944,47,42,14,1625,-690,5302,5944,47,42,14,1625
806,2930,7775,-781,-3453,-110,-11,-1,77,7775,-781,-3453,-110,-11,-1,77,-640,5367,5958,50,34,8,1617,-640,5367,5958,50,34,8,1617
132,-847,7749,-762,-3508,-116,-12,-1,77,7749,-762,-3508,-116,-12,-1,77,-654,5387,5920,64,69,1,1620,-654,5387,5920,64,69,1,1620
570,-657,7763,-743,-3507,-120,-7,-1,77,7763,-743,-3507,-120,-7,-1,77,-609,5346,5892,68,67,-5,1620,-609,5346,5892,68,67,-5,1620
-747,950,7769,-742,-3443,-114,-12,-2,77,7769,-742,-3443,-114,-12,-2,77,-652,5352,5974,60,43,12,1620,-652,5352,5974,60,43,12,1620
-4704,-3484,7757,-779,-3493,-112,-9,-3,77,7757,-779,-3493,-112,-9,-3,77,-664,5315,5922,53,52,18,1625,-664,5315,5922,53,52,18,1625
50,-516,7759,-753,-3455,-110,-13,-3,77,7759,-753,-3455,-110,-13,-3,77,-631,5393,5959,60,29,13,1613,-631,5393,5959,60,29,13,1613
728,-1066,7737,-756,-3425,-110,-12,-1,77,7737,-756,-3425,-110,-12,-1,77,-642,5328,5968,49,59,14,1611,-642,5328,5968,49,59,14,1611
-4882,2774,7772,-796,-3471,-115,-8,-4,77,7772,-796,-3471,-115,-8,-4,77,-667,5362,5940,60,64,10,1625,-667,5362,5940,60,64,10,1625
-1719,-1198,7761,-761,-3453,-112,-12,-3,77,7761,-761,-3453,-112,-12,-3,77,-606,5420,5981,57,54,-5,1615,-606,5420,5981,57,54,-5,1615
-824,-22,7769,-766,-3456,-108,-13,-4,77,7769,-766,-3456,-108,-13,-4,77,-621,5344,5946,34,42,28,1617,-621,5344,5946,34,42,28,1617
780,-2606,7769,-755,-3435,-110,-10,-1,77,7769,-755,-3435,-110,-10,-1,77,-638,5371,5960,58,36,7,1621,-638,5371,5960,58,36,7,1621
-1624,3130,7774,-773,-3481,-108,-16,-4,77,7774,-773,-3481,-108,-16,-4,77,-646,5378,5973,44,37,21,1624,-646,5378,5973,44,37,21,1624
3818,-1804,7773,-807,-3468,-120,-8,-3,77,7773,-807,-3468,-120,-8,-3,77,-665,5307,5957,56,55,9,1623,-665,5307,5957,56,55,9,1623
3912,451,7762,-748,-3460,-111,-13,-6,77,7762,-748,-3460,-111,-13,-6,77,-674,5329,5960,48,55,19,1622,-674,5329,5960,48,55,19,1622
-2346,1850,7744,-742,-3443,-116,-6,-3,77,7744,-742,-3443,-116,-6,-3,77,-648,5374,5938,52,52,5,1622,-648,5374,5938,52,52,5,1622
-1749,1482,7751,-775,-3472,-108,-13,-4,77,7751,-775,-3472,-108,-13,-4,77,-690,5345,5950,48,47,13,1620,-690,5345,5950,48,47,13,1620
-166,-3045,7761,-758,-3453,-113,-12,-3,77,7761,-758,-3453,-113,-12,-3,77,-638,5387,5968,34,66,23,1616,-638,5387,5968,34,66,23,1616
50,530,7758,-763,-3428,-108,-12,-3,77,7758,-763,-3428,-108,-12,-3,77,-625,5321,5934,69,65,6,1616,-625,5321,5934,69,65,6,1616
1030,-3468,7775,-754,-3418,-111,-13,-3,77,7775,-754,-3418,-111,-13,-3,77,-621,5306,5936,47,59,5,1621,-621,5306,5936,47,59,5,1621
3600,180,7765,-764,-3477,-111,-11,-5,77,7765,-764,-3477,-111,-11,-5,77,-677,5311,5964,48,55,18,1622,-677,5311,5964,48,55,18,1622
3138,-2316,7776,-770,-3462,-112,-13,-2,77,7776,-770,-3462,-112,-13,-2,77,-640,5363,5888,36,53,24,1620,-640,5363,5888,36,53,24,1620
-1845,3116,7763,-775,-3478,-109,-15,-4,77,7763,-775,-3478,-109,-15,-4,77,-661,5351,5976,50,39,24,1624,-661,5351,5976,50,39,24,1624
-548,-2977,7778,-747,-3459,-114,-11,-3,77,7778,-747,-3459,-114,-11,-3,77,-662,5390,5957,23,65,29,1615,-662,5390,5957,23,65,29,1615
888,2322,7769,-789,-3419,-115,-9,-3,77,7769,-789,-3419,-115,-9,-3,77,-640,5349,5951,50,34,-1,1617,-640,5349,5951,50,34,-1,1617
-60,-1286,7779,-756,-3463,-112,-10,-3,77,7779,-756,-3463,-112,-10,-3,77,-620,5315,5947,54,47,11,1615,-620,5315,5947,54,47,11,1615
-2838,2652,7760,-760,-3470,-109,-11,-4,77,7760,-760,-3470,-109,-11,-4,77,-650,5357,5960,56,55,4,1625,-650,5357,5960,56,55,4,1625
-23,2958,7783,-774,-3448,-107,-15,-4,77,7783,-774,-3448,-107,-15,-4,77,-648,5370,6006,64,49,8,1620,-648,5370,6006,64,49,8,1620
434,-2717,7778,-757,-3464,-114,-10,-5,77,7778,-757,-3464,-114,-10,-5,77,-640,5382,5941,76,39,-15,1621,-640,5382,5941,76,39,-15,1621
-4558,3023,7763,-757,-3453,-110,-10,-3,77,7763,-757,-3453,-110,-10,-3,77,-656,5339,5914,45,40,14,1624,-656,5339,5914,45,40,14,1624
899,2524,7762,-774,-3462,-113,-11,-2,77,7762,-774,-3462,-113,-11,-2,77,-644,5359,5993,58,62,18,1621,-644,5359,5993,58,62,18,1621
-2244,1102,7762,-754,-3479,-105,-14,-5,77,7762,-754,-3479,-105,-14,-5,77,-678,5331,5960,38,53,13,1622,-678,5331,5960,38,53,13,1622
389,310,7763,-774,-3460,-109,-12,-5,77,7763,-774,-3460,-109,-12,-5,77,-648,5364,5989,55,37,9,1619,-648,5364,5989,55,37,9,1619
352,-1886,7758,-773,-3465,-114,-10,-1,77,7758,-773,-3465,-114,-10,-1,77,-671,5350,5979,36,41,14,1621,-671,5350,5979,36,41,14,1621
