0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
231,0,-13,-14,-14,-12,-14,-12,-5,-13,-5,10,-13,-16,-1,-3,-14,-16,-6,-15,-8,-9,-23,-13,-17,-9,-13,2492,-750,-65
408,0,-19,-21,-23,-32,-27,-20,-36,-32,-99,80,-14,-30,-32,-26,-14,-55,-28,-17,-44,-24,-102,-18,-36,-26,-44,3084,-3920,64
358,0,-6,-14,-17,-11,-13,-10,-8,-8,-7,15,-13,-15,-3,-5,-12,-15,-8,-13,-11,-11,-13,-8,-11,-8,-10,-884,-316,8
761,0,2,-4,-2,1,1,4,3,19,29,4,-4,6,-1,33,-1,6,6,0,5,1,19,-5,1,-7,14,3196,-2503,56
244,0,-28,-26,-36,-25,-34,-20,-34,-30,-9,191,-26,-27,-38,-11,-30,-26,-31,-30,-13,-28,-72,-28,-28,-32,-20,-4380,2616,42
109,0,-1,-1,-10,-15,-7,3,-3,3,2,33,-4,-8,25,24,-8,-11,-5,-11,-35,-12,-75,-8,-9,-1,-10,-3468,-1580,-78
259,0,-9,-8,-23,-27,-18,-17,-14,-12,-5,3,-11,-7,-6,-7,-20,-20,-13,-22,-23,-16,-16,-17,-15,-15,-15,-644,186,20
375,0,-39,-39,-43,-40,-46,-38,-56,-45,-99,33,-34,-43,-52,-28,-33,-57,-41,-34,-49,-41,-92,-33,-47,-44,-49,4585,-4331,70
787,0,14,0,-3,-9,0,-1,0,0,2,-8,-2,2,5,15,-1,6,2,4,0,3,4,-7,-4,-8,-5,1824,-2560,38
910,0,19,24,21,9,14,13,11,16,11,9,18,25,22,27,21,42,5,22,15,14,-17,15,18,1,9,-3065,128,48
1127,0,27,23,21,20,23,29,17,25,12,10,19,21,9,5,22,25,21,22,18,25,34,19,27,21,28,-968,-649,18
1011,0,6,5,-17,-26,-12,-11,-12,-10,-7,-4,-7,-4,8,2,-12,-10,-9,-12,-13,-7,-11,-17,-10,-17,-13,1132,-1772,17
909,0,18,25,21,9,14,14,11,18,8,11,17,25,21,29,21,42,6,22,15,14,-14,15,18,1,12,-3066,268,47
335,0,-34,-32,-38,-26,-39,-35,-51,-37,-13,-195,-32,-25,-43,-26,-37,-30,-50,-36,-6,-34,34,-34,-30,-46,-33,-3477,2262,66
839,0,9,5,-7,-2,-4,-1,3,-2,2,42,4,3,18,-10,-4,11,3,-2,3,7,17,-2,0,-6,-10,-3602,1328,73
806,0,7,8,9,7,5,9,6,6,13,20,9,12,-5,5,3,11,2,9,2,7,34,11,8,7,3,-2116,1098,74
216,0,7,1,-4,-4,-1,2,-2,-3,-31,4,0,-10,-4,-7,3,-30,11,2,10,5,-68,0,-14,-2,-9,2674,-4284,12
166,0,26,27,19,16,25,26,19,19,-28,32,21,17,11,19,23,16,24,22,13,17,-75,24,21,19,11,3010,-714,-30
456,0,10,7,-4,-15,-1,0,2,4,3,8,-3,2,-2,-4,-2,1,4,4,-1,0,-8,-3,-7,-7,0,-2314,1672,14
462,0,1,10,3,-4,1,-1,1,1,4,6,-4,-4,14,2,0,1,2,5,0,0,-5,3,-7,-7,-6,-2782,1629,10
725,0,-3,2,-4,-7,-6,-2,1,7,-5,-6,-10,-8,16,14,-10,-2,-9,-5,-11,-3,51,-10,-7,-8,-11,-4282,620,-4
203,0,12,11,-3,-4,2,8,-8,4,-59,69,4,-3,-11,26,11,-17,28,5,-19,17,-126,6,-2,-5,-3,2737,-4374,16
381,0,-7,-2,2,-6,-4,1,-2,3,-5,15,-7,-8,-2,-4,0,-5,1,1,-2,-5,-4,4,-8,0,1,-1520,139,10
831,0,1,4,8,12,7,8,10,14,11,4,5,9,-3,10,5,12,3,8,8,6,6,5,6,6,13,56,-484,18
63,0,9,9,8,5,6,14,7,16,16,18,8,8,18,11,5,5,3,3,-8,2,-40,8,16,11,8,-4467,-1258,-96
820,0,4,8,6,6,2,9,6,8,11,53,8,9,2,7,2,9,10,4,3,9,28,9,6,4,0,-3226,940,76
776,0,-4,-7,3,10,4,3,7,9,10,-7,2,2,0,-6,0,6,6,4,5,3,10,2,-6,2,0,2412,-2644,36
798,0,-13,-15,8,20,0,3,-2,4,-2,-9,2,-1,-16,8,8,7,1,9,12,2,8,2,-7,-5,1,1070,-1930,26
969,0,6,6,7,-4,5,0,8,6,13,3,8,8,4,15,7,-10,7,4,-7,2,48,9,6,11,2,-576,-468,51
241,0,-25,-36,-17,-11,-16,-22,-13,-31,-20,-9,-20,-32,-20,-45,-16,-26,-18,-17,-14,-15,-27,-11,-32,-2,-28,2436,-498,-73
900,0,-12,-20,-18,-10,-16,-15,-12,-10,-8,-9,-14,-13,-8,-9,-19,-19,-7,-19,-13,-14,-5,-13,-9,-11,-14,4344,-975,31
1323,0,1,16,17,1,8,14,6,6,8,0,7,5,13,8,17,16,6,9,5,-6,-9,0,19,5,12,128,-1846,-14
919,0,10,11,11,1,6,4,3,6,-8,-30,8,11,5,2,8,17,-1,11,-3,1,-53,12,10,6,1,-2996,-604,51
1392,0,10,-7,-4,-12,-1,-1,-2,-11,-8,77,-4,-6,5,-22,-1,-5,-20,-3,-1,-3,-3,-1,-2,3,-2,-228,-597,-34
1412,0,6,-20,23,20,14,12,12,4,2,223,11,4,2,-8,18,1,-26,13,12,5,13,16,17,20,6,-802,-80,-46
861,0,5,7,6,3,-3,3,0,3,-8,17,7,6,11,-10,4,6,2,8,0,7,-16,7,2,1,4,-3397,148,62
788,0,-14,-14,-18,-15,-18,-13,-12,-12,0,-33,-15,-15,-13,-18,-21,-20,-20,-18,-21,-19,9,-11,-13,-7,-17,-1922,-435,16
864,0,15,13,24,24,19,19,20,20,26,33,15,17,2,20,22,26,28,24,27,24,28,13,19,10,16,3210,88,24
105,0,-6,-6,-10,-13,-9,1,-7,-3,-8,19,-4,-11,20,14,-9,-11,-10,-13,-34,-13,-62,-10,-11,-4,-21,-3578,-1396,-80
542,0,15,14,9,2,8,7,11,14,10,58,8,11,25,10,5,13,9,9,10,9,19,10,8,5,9,-2162,2865,10
48,0,19,15,19,24,21,23,27,36,45,-18,5,18,13,37,14,51,27,20,30,20,65,16,22,24,29,-3354,2615,-32
367,0,-33,-34,-39,-40,-42,-40,-50,-46,-83,-50,-34,-44,-43,-43,-35,-75,-37,-33,-45,-33,-61,-33,-46,-43,-58,4336,-3142,70
395,0,-1,3,1,1,2,3,5,3,22,23,0,1,4,-4,1,3,7,2,3,5,-5,5,-2,0,4,2200,-572,-79
266,0,6,-1,8,11,9,12,12,-1,0,2,10,4,-5,-40,10,5,6,8,13,11,7,12,5,14,15,997,-970,-76
258,0,-26,-32,-30,-19,-29,-31,-31,-39,-9,50,-19,-20,-26,-42,-32,-12,-25,-27,10,-19,-56,-18,-37,-26,-35,-4052,471,40
922,0,10,14,14,4,8,9,7,13,-2,-19,8,13,-7,1,13,15,5,14,-1,4,-58,14,17,12,14,-2990,-125,49
843,0,8,4,-6,-2,-2,0,5,3,0,39,5,5,8,-8,-3,11,8,1,4,8,16,1,-4,4,-2,-3498,1540,74
1345,0,9,46,30,13,17,19,16,14,20,21,21,20,19,25,24,17,12,20,30,16,-3,12,22,15,13,-397,-380,-14
408,0,-7,-8,-6,-2,-5,-2,-8,-7,9,8,-11,-15,-2,-5,-1,1,2,0,5,0,6,-9,-18,-16,-10,1762,-742,-89
394,0,-31,-33,-40,-49,-41,-37,-53,-46,-107,46,-27,-41,-37,-54,-31,-77,-37,-34,-58,-42,-114,-35,-43,-39,-50,3714,-3332,78
193,0,-8,-13,-12,-11,-11,-5,-6,-13,-21,19,-7,-12,-7,-24,-13,-19,-7,-14,-6,-8,-28,-6,-13,-4,-11,2766,-2466,-72
1075,0,0,-29,-6,4,-7,-5,-9,-12,-13,-24,3,-5,6,-30,-5,-10,-10,-6,-11,-7,-24,-2,-4,-1,-15,-672,-524,0
921,0,12,14,15,5,9,9,7,13,-2,-22,9,14,-1,2,13,17,5,15,0,4,-55,16,16,11,12,-2995,-154,50
60,0,24,21,19,21,20,20,27,33,44,-23,16,23,31,20,22,48,41,25,21,22,62,15,25,21,38,4334,2848,-18
889,0,2,24,-12,-19,-7,-7,-5,-4,-4,1,-7,0,-7,10,-12,-11,-2,-10,-5,-6,1,-8,4,-5,-4,4468,-633,32
435,0,-19,-5,-3,1,-8,2,-4,9,-5,6,-9,-11,-14,15,-2,-6,2,-4,-1,-5,-8,-2,-15,-4,1,-1723,2051,12
819,0,-10,-15,-3,1,-8,-8,-8,-5,-5,-20,-9,-7,-12,1,-5,-5,-10,-1,-5,-8,1,-5,-8,-13,-6,226,-916,23
237,0,0,3,26,23,17,21,15,28,15,27,14,18,-18,-10,20,17,18,18,19,17,20,13,18,14,22,-430,334,-2
423,0,-24,-21,-23,-34,-26,-24,-34,-20,-83,102,-20,-26,-32,-30,-21,-50,-38,-21,-50,-27,-61,-17,-30,-24,-44,186,-3590,72
109,0,-17,-38,-23,-7,-21,-18,-17,-8,-3,9,-17,-18,-1,2,-19,-21,-17,-22,-16,-21,-17,-14,-15,-13,-9,1548,-56,5
556,0,-18,-20,-20,-18,-16,-22,-25,-36,-52,-18,-16,-24,-17,-25,-20,-38,-18,-17,-19,-19,-71,-10,-27,-25,-31,356,1818,-52
163,0,-15,-5,-17,-20,-15,-13,-11,-2,-6,9,-15,-9,-18,0,-15,-15,-8,-17,-15,-13,-11,-11,-13,-8,-3,1035,-627,9
288,0,-25,-7,-14,-13,-18,-14,-13,-11,-14,-8,-12,-13,-15,-20,-16,-22,-14,-19,-18,-19,-16,-9,-8,-11,-13,-810,-820,8
252,0,-4,1,-1,-6,-4,2,-3,6,5,20,-5,-1,-4,6,-4,-4,1,-4,-4,-3,0,-1,1,-1,8,-512,646,6
476,0,-11,-5,-11,-10,-9,-11,-6,-11,4,-8,-5,-8,-1,-14,-11,-18,-6,-11,-13,-9,-18,-1,-14,-1,-9,2062,-2576,-44
53,0,18,20,15,19,15,24,21,27,29,42,21,24,21,35,15,19,13,11,8,12,-23,16,29,23,28,-4596,-932,-86
385,0,-24,-19,-24,-29,-23,-25,-20,-24,-6,-17,-24,-25,-6,-26,-25,-23,-18,-24,-23,-20,-8,-22,-33,-22,-23,1600,-747,-78
1080,0,16,-5,-5,-2,-1,5,-1,5,3,-4,8,7,16,-5,-1,-1,-1,-1,-3,-1,-9,-2,6,-1,-3,-32,-986,-5
1061,0,9,-13,-2,6,-5,3,-10,-4,-12,-16,5,4,-4,2,1,-2,-10,-2,1,-6,2,-4,18,-7,-2,-870,-928,-2
31,0,13,4,10,13,11,17,9,11,12,-2,11,8,18,-22,14,17,3,9,12,10,13,5,18,5,12,-3700,-1704,-106
1393,0,15,-8,-5,-10,0,2,-3,-8,-8,76,-3,-5,4,-23,0,-3,-18,-2,1,-2,-3,0,4,3,3,-124,-433,-34
834,0,2,7,-3,2,-3,5,8,7,-2,66,-1,3,-7,10,-4,12,2,-3,3,7,21,1,7,0,0,-3592,804,74
254,0,-24,-29,-27,-15,-31,-27,-32,-40,-21,70,-16,-17,-38,-33,-28,-12,-27,-26,26,-19,-63,-14,-26,-24,-29,-4240,1819,44
840,0,-3,-30,-17,-5,-14,-10,-11,-7,0,-10,-8,-9,7,1,-17,-12,-11,-15,-14,-13,-16,-11,-9,-12,-16,1242,-358,29
1151,0,-3,-21,-9,-6,-6,-10,-3,-7,-8,-13,-6,-8,1,-9,-11,-18,-4,-10,-17,-8,-8,-4,-6,3,-4,1106,1386,42
332,0,-7,-5,-4,-9,-6,-8,-11,-12,1,5,-8,-8,0,-15,-3,0,-3,0,-4,-4,13,-7,-14,-16,-1,208,-497,-108
5,0,20,18,20,19,19,23,15,21,16,-4,14,15,27,40,22,21,6,16,18,12,0,11,27,11,22,-2014,-3498,-114
901,0,-12,-7,-9,-23,-10,-15,-15,-11,-32,-26,-13,-3,-34,-8,-11,7,-25,-9,-17,-16,-29,-6,-13,-1,-12,-3136,-140,52
461,0,2,14,-1,-9,-1,-2,-1,1,4,6,-5,-4,14,0,-2,-1,1,3,-2,-1,-7,0,-7,-10,-5,-2834,1614,12
990,0,20,5,6,10,7,12,5,7,9,2,14,13,13,8,11,8,7,9,12,10,11,5,17,-3,4,414,-912,16
1437,0,-5,-2,-9,-22,-16,-14,-7,-29,-6,-97,-2,-9,15,5,-1,-7,-17,-16,-10,-9,9,-12,-7,-1,-8,-1498,-3134,-44
157,0,-26,-19,-10,-15,-14,-17,-17,-20,-21,-20,-13,-14,-32,-31,-14,-16,-19,-15,-16,-15,-17,-3,-20,-9,-22,1551,-500,7
421,0,-10,-7,-9,-10,-4,-14,-4,-12,3,12,-11,-10,-14,-15,-10,-7,-4,-6,-6,-3,17,-4,-16,-5,-10,1264,-57,-76
622,0,6,7,11,18,14,17,13,25,-43,21,5,13,-11,18,10,52,18,13,14,10,-31,16,15,12,16,-5082,1292,-30
677,0,3,-9,-2,4,4,3,6,16,2,2,-5,-1,-13,14,3,6,6,4,2,5,-2,-5,-4,2,3,462,-1176,-38
935,0,-25,-21,-25,-31,-26,-29,-22,-18,-17,-24,-24,-23,-3,-7,-25,-28,-24,-27,-32,-26,-130,-24,-30,-22,-22,-458,-276,50
118,0,9,7,2,13,7,10,6,6,18,-22,4,3,16,27,6,4,11,6,21,-2,-15,1,9,0,17,3288,2564,-7
238,0,-6,-9,26,30,15,19,14,24,14,24,16,15,-15,-11,21,16,17,17,18,16,19,13,14,12,16,-418,386,-3
789,0,8,4,-8,-12,-4,-5,-7,-7,-7,-21,-5,-2,-1,-2,-5,3,-4,0,-4,-2,0,-12,-6,-15,-8,1822,-2446,38
1093,0,16,29,14,4,9,14,3,9,2,-3,8,11,5,8,10,11,4,13,10,11,9,1,20,0,4,-568,-3224,-17
477,0,-12,-6,-12,-11,-12,-12,-8,-12,2,-11,-6,-10,-1,-15,-13,-20,-7,-13,-15,-10,-22,-4,-14,-3,-10,2036,-2394,-42
100,0,-9,-5,1,-6,-4,-4,-6,5,1,11,-9,-6,-1,1,-2,-3,-2,-1,-1,-5,1,-1,-9,-3,1,794,-612,-4
315,0,0,-22,-21,-18,-14,-12,-7,-8,-3,2,-10,-9,1,-15,-15,-15,-7,-18,-14,-13,-11,-8,-7,-9,-13,-1213,-260,10
219,0,16,17,19,15,15,18,15,12,10,21,17,15,8,-8,17,14,13,17,20,18,-4,19,15,17,15,2578,-963,-66
1041,0,9,2,16,17,10,20,12,16,12,13,17,17,-16,-5,15,13,14,12,14,15,6,14,15,21,17,534,-1358,19
406,0,-2,-2,0,4,-1,4,-5,-3,11,7,-4,-8,-1,-7,5,7,6,5,10,5,6,-2,-9,-13,-7,2096,-524,-88
879,0,-10,-23,1,8,-2,-4,-3,-3,-2,3,-1,-4,-2,-2,-2,-5,-1,-2,0,-2,3,-7,-10,-3,-3,4576,-594,22
261,0,-4,-4,-12,-9,-8,-9,-4,-3,2,11,-1,0,1,0,-10,-11,-4,-12,-13,-6,-7,-6,-2,-6,-10,-630,26,14
253,0,5,8,11,3,7,8,8,2,10,20,6,4,9,1,10,6,6,7,16,10,-1,8,2,7,7,2352,-498,-62
502,0,-14,-13,-14,-10,-10,-13,-15,-17,-23,11,-7,-15,-14,-12,-9,-23,44,-10,-4,-2,-41,-10,-20,-18,-19,1814,4220,-40
195,0,-1,-19,-17,-16,-13,-8,-6,-7,-5,-2,-14,-14,-2,-4,-14,-13,-10,-14,-12,-11,-10,-11,-10,-8,-11,-1266,10,4
276,0,-29,-36,-33,-32,-34,-26,-28,-23,-16,-21,-34,-36,-3,1,-30,-31,-24,-34,-28,-34,-23,-32,-35,-31,-26,-364,-420,-92
150,0,14,15,10,11,14,17,12,17,-20,26,10,13,7,19,11,25,23,12,10,14,-76,9,14,9,20,3011,1982,-14
236,0,-4,-4,-2,3,-3,-1,5,-3,6,32,-2,-8,3,9,0,-9,3,-3,4,1,-9,2,-5,5,-8,2486,-676,-74
179,0,-13,-23,-13,-15,-13,-14,-12,-8,-8,4,-15,-14,-9,-3,-14,-13,-9,-14,-15,-11,-13,-14,-18,-12,-12,-652,-961,8
818,0,2,5,1,3,-2,6,2,6,10,46,3,5,3,-4,-2,5,7,0,0,4,26,4,7,2,7,-3048,1039,76
340,0,6,-2,-13,-9,-3,1,3,9,4,16,-10,-4,0,16,-9,-4,5,-7,-5,-1,2,3,-4,0,4,-1007,104,12
167,0,28,29,22,18,27,28,22,22,-28,38,23,19,13,20,25,18,26,24,14,19,-74,27,22,21,12,2981,-1140,-30
410,0,-12,-12,-7,-6,-6,-8,-8,-11,6,10,-15,-18,-6,-4,-6,-4,-2,-4,1,-2,6,-11,-23,-14,-11,1482,-501,-86
748,0,-6,-27,-30,-23,-16,-19,-12,-7,0,-14,-29,-22,-13,-6,-27,-12,-12,-21,-18,-16,2,-26,-21,-15,-18,3526,-2154,45
1260,0,16,25,17,11,23,16,29,25,24,29,10,13,18,28,17,15,27,14,15,23,12,14,16,26,24,13,-218,0
662,0,24,27,17,8,16,12,15,19,13,-1,17,18,19,21,21,22,19,23,14,18,6,15,10,8,-1,-464,-710,-32
480,0,-9,2,0,0,-5,2,-3,0,-5,-1,0,-4,0,-14,-1,-5,-2,-3,0,-6,-4,-2,-1,-4,-9,-1784,3266,10
445,0,-24,-17,-17,-24,-18,-14,-23,-7,-48,-37,-23,-26,-23,-24,-21,-33,-24,-18,-34,-21,-35,-17,-30,-22,-35,-3660,3400,90
1192,0,16,7,22,10,15,12,11,10,8,16,16,14,16,1,21,11,11,17,10,9,19,13,18,18,14,3272,1702,1
156,0,4,5,7,1,2,8,5,3,-20,70,8,1,6,2,3,-1,6,4,6,0,-46,5,0,7,-11,1794,-222,-73
936,0,-24,-24,-27,-29,-26,-29,-23,-19,-20,-27,-24,-21,-8,-11,-26,-27,-25,-28,-31,-26,-131,-23,-27,-23,-20,76,-495,51
549,0,-1,-9,1,3,5,-2,8,7,-2,29,-1,0,-10,1,-2,6,5,2,1,5,10,10,-11,16,-2,-2222,2814,10
79,0,11,10,11,6,12,16,9,11,8,14,11,9,5,15,12,5,-5,7,-9,2,-29,11,14,15,3,-4098,-1274,-96
208,0,19,15,7,2,11,13,3,5,-47,48,12,1,-5,-3,17,-11,31,15,-6,19,-106,9,1,7,-10,2701,-4282,13
742,0,5,7,21,28,20,18,19,24,34,22,10,13,-2,7,16,23,24,19,19,21,42,13,14,15,17,2864,-1859,56
916,0,3,3,1,-9,-4,-6,-7,-4,-18,-36,0,3,7,-5,-1,14,-12,2,-10,-7,-53,0,0,-3,-12,-3009,-236,54
287,0,-32,-38,-39,-27,-40,-39,-44,-54,6,-52,-28,-25,-53,-27,-40,-30,-36,-35,21,-34,-11,-33,-39,-43,-40,-3880,-1242,50
940,0,-3,8,-11,-18,-7,-7,-8,-4,-1,-9,-10,-6,-4,-21,-10,-6,-12,-6,-6,-7,-6,-10,-11,-6,2,678,-794,6
663,0,-4,-2,-8,-3,-4,2,0,5,-13,-25,-9,-4,7,4,-8,35,-8,-3,-9,-8,-9,-9,-6,-7,-5,-4803,1345,-16
411,0,-13,-13,-6,-6,-5,-9,-6,-11,6,11,-15,-17,-6,-4,-6,-4,-2,-4,1,-1,7,-9,-23,-12,-10,1684,-528,-86
496,0,-17,-12,-9,-17,-10,-8,-14,-16,-24,-34,-14,-17,-19,-29,-15,-30,-5,-13,-25,-12,-53,-34,-16,-23,-17,3258,-3651,85
795,0,-9,-6,-10,-11,-10,-7,-3,-4,13,-4,-9,-9,4,-7,-13,-8,-13,-9,-16,-8,25,-11,-16,-6,-12,-1898,282,25
1001,0,-8,-7,20,18,12,8,4,8,-2,12,3,5,-37,-6,12,10,3,14,14,11,12,12,4,14,11,614,-1290,0
247,0,10,7,-19,-18,-11,-4,-9,2,-3,16,-12,-6,7,26,-15,-10,-2,-13,-10,-8,-4,-8,4,-13,-6,-503,586,4
393,0,7,10,11,9,10,11,14,13,35,34,7,8,15,11,10,13,17,11,11,14,6,10,4,6,15,2365,-678,-80
1399,0,-2,8,0,-10,0,4,-3,-4,-7,73,-6,-4,-2,-6,0,-4,-16,-3,-1,-4,6,-5,4,-7,13,-878,-1445,-39
220,0,0,-4,-11,-10,-6,-2,-9,-7,-29,-1,-3,-12,-4,-4,-3,-37,0,-7,-5,-5,-72,-3,-14,-9,-13,2617,-4005,20
626,0,-11,-7,-7,-14,-7,-8,-2,1,-15,-2,-13,-8,-29,8,-11,-8,-1,-8,-12,-9,-12,-6,-13,6,-8,-222,51,-7
347,0,-13,-4,-11,-10,-12,-6,-7,-3,-3,6,-5,-5,-7,-8,-9,-14,-3,-14,-9,-11,-8,-3,-4,-9,-8,-682,-73,13
278,0,-2,-14,-23,-24,-18,-13,-14,-10,-9,-3,-15,-11,-9,-13,-17,-17,-12,-19,-15,-16,-14,-17,-6,-14,-9,-938,-1082,7
